Reservation #,Flight #,Date,Length (hrs),Reservation Type,Status,Client,Aircraft Tail,Aircraft Make,Aircraft Model,Instructor,Rating Hint (synthetic answer key)
R101069,F051038,2024-06-14,2.1,Dual Flight Training,Completed,Isabella Rodriguez,N7732K,Cessna,172S,Doug Hayes,IFR
R102072,F051986,2024-06-14,1.9,Dual Flight Training,Completed,Mia Sutton,N4521P,Cessna,172N,Doug Hayes,PPL (cadence cohort)
R102073,F051987,2024-06-14,1.8,Dual Flight Training,Completed,Mia Sutton,N8814M,Piper,PA-28-181,Sarah Phillips,PPL (cadence cohort)
R101431,F051388,2024-06-15,1.4,Dual Flight Training,Completed,Mia Foster,N5567W,Piper,PA-44-180,Jenny Park,AMEL
R102295,F052209,2024-06-15,1.9,Dual Flight Training,Completed,Caleb Ford,N6603L,Cessna,172S,Jenny Park,PPL (cadence cohort)
R100298,F050288,2024-06-16,1.4,Dual Flight Training,Completed,Sarah Williams,N4521P,Cessna,172N,Doug Hayes,CFI
R100302,F050292,2024-06-16,2.4,Dual Flight Training,Completed,Sarah Williams,N7732K,Cessna,172S,Sarah Phillips,CFI
R102074,F051988,2024-06-17,1.9,Dual Flight Training,Completed,Mia Sutton,N8814M,Piper,PA-28-181,Doug Hayes,PPL (cadence cohort)
R101335,F051296,2024-06-18,1.2,Dual Flight Training,Completed,Ethan Murphy,N4521P,Cessna,172N,Jenny Park,CFI
R102075,F051989,2024-06-18,2.0,Dual Flight Training,Completed,Mia Sutton,N7732K,Cessna,172S,Doug Hayes,PPL (cadence cohort)
R100494,F050482,2024-06-19,2.1,Dual Flight Training,Completed,Priya Patel,N7732K,Cessna,172S,Sarah Phillips,CFI
R101137,F051105,2024-06-19,1.9,Dual Flight Training,Completed,Noah J. Carter,N6603L,Cessna,172S,Jenny Park,PPL
R101338,F051299,2024-06-19,1.8,Dual Flight Training,Completed,Ethan Murphy,N4521P,Cessna,172N,Doug Hayes,CFI
R101578,F051498,2024-06-19,1.4,Owner Flight,Completed,Patricia O'Donnell,N6603L,Cessna,172S,,
R101776,F051690,2024-06-19,1.8,Dual Flight Training,Completed,Olivia Brennan,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R102296,F052210,2024-06-19,1.7,Dual Flight Training,Completed,Caleb Ford,N8814M,Piper,PA-28-181,Jenny Park,PPL (cadence cohort)
R102076,F051990,2024-06-20,1.7,Student Solo,Completed,Mia Sutton,N4521P,Cessna,172N,,PPL (cadence cohort)
R102077,F051991,2024-06-21,1.7,Dual Flight Training,Completed,Mia Sutton,N6603L,Cessna,172S,Doug Hayes,PPL (cadence cohort)
R102078,F051992,2024-06-23,1.7,Dual Flight Training,Completed,Mia Sutton,N7732K,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R100227,F050219,2024-06-24,2.1,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Mike Anderson,CFI
R101777,F051691,2024-06-24,1.7,Dual Flight Training,Completed,Olivia Brennan,N7732K,Cessna,172S,Mike Anderson,PPL (cadence cohort)
R101163,F051131,2024-06-25,1.8,Dual Flight Training,Completed,Noah J. Carter,N8814M,Piper,PA-28-181,Jenny Park,PPL
R101336,F051297,2024-06-25,2.2,Dual Flight Training,Completed,Ethan Murphy,N7732K,Cessna,172S,Jenny Park,CFI
R100226,,2024-06-26,0,Dual Flight Training,Canceled,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,CFI
R100217,F050210,2024-06-27,2.2,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,CFI
R100229,F050221,2024-06-28,1.8,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R100485,F050473,2024-06-28,2.4,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,CFI
R100514,F050502,2024-06-29,2.1,Dual Flight Training,Completed,David Kim,N7732K,Cessna,172S,Doug Hayes,IFR
R101059,F051028,2024-06-29,1.7,Dual Flight Training,Completed,Isabella Rodriguez,N6603L,Cessna,172S,Doug Hayes,IFR
R102079,F051993,2024-06-29,2.0,Check Ride,Completed,Mia Sutton,N8814M,Piper,PA-28-181,,PPL (cadence cohort)
R102297,F052211,2024-06-29,1.8,Check Ride,Completed,Caleb Ford,N7732K,Cessna,172S,,PPL (cadence cohort)
R101072,F051041,2024-06-30,2.1,Dual Flight Training,Completed,Isabella Rodriguez,N7732K,Cessna,172S,Doug Hayes,IFR
R101337,F051298,2024-07-01,1.7,Dual Flight Training,Completed,Ethan Murphy,N7732K,Cessna,172S,Jenny Park,CFI
R101778,F051692,2024-07-01,1.8,Dual Flight Training,Completed,Olivia Brennan,N7732K,Cessna,172S,Mike Anderson,PPL (cadence cohort)
R100486,F050474,2024-07-02,1.6,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,CFI
R101067,F051036,2024-07-03,1.4,Dual Flight Training,Completed,Isabella Rodriguez,N4521P,Cessna,172N,Doug Hayes,IFR
R101432,F051389,2024-07-03,2.4,Dual Flight Training,Completed,Mia Foster,N3340T,Piper,PA-44-180,Sarah Phillips,AMEL
R100123,F050119,2024-07-04,1.9,Dual Flight Training,Completed,Alex Martinez,N3340T,Piper,PA-44-180,Jenny Park,MEI
R101434,F051391,2024-07-04,1.8,Dual Flight Training,Completed,Mia Foster,N3340T,Piper,PA-44-180,Jenny Park,AMEL
R100781,F050758,2024-07-05,2.0,Check Ride,Completed,Sofia Garcia,N4521P,Cessna,172N,,PPL
R100117,F050113,2024-07-06,2.1,Dual Flight Training,Completed,Alex Martinez,N5567W,Piper,PA-44-180,Jenny Park,MEI
R100120,F050116,2024-07-06,1.6,Dual Flight Training,Completed,Alex Martinez,N5567W,Piper,PA-44-180,Jenny Park,MEI
R101779,F051693,2024-07-07,1.7,Dual Flight Training,Completed,Olivia Brennan,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R100218,F050211,2024-07-08,1.2,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Mike Anderson,CFI
R100523,F050511,2024-07-09,2.2,Dual Flight Training,Completed,David Kim,N6603L,Cessna,172S,Doug Hayes,IFR
R101437,F051394,2024-07-09,2.2,Check Ride,Completed,Mia Foster,N5567W,Piper,PA-44-180,,AMEL
R101780,F051694,2024-07-11,2.0,Dual Flight Training,Completed,Olivia Brennan,N6603L,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R100119,F050115,2024-07-13,1.9,Dual Flight Training,Completed,Alex Martinez,N5567W,Piper,PA-44-180,Jenny Park,MEI
R100307,F050297,2024-07-15,1.4,Dual Flight Training,Completed,Sarah Williams,N7732K,Cessna,172S,Sarah Phillips,CFI
R100124,F050120,2024-07-16,1.7,Check Ride,Completed,Alex Martinez,N5567W,Piper,PA-44-180,,MEI
R100303,F050293,2024-07-17,1.9,Dual Flight Training,Completed,Sarah Williams,N8814M,Piper,PA-28-181,Tom Reyes,CFI
R101781,F051695,2024-07-17,1.5,Dual Flight Training,Completed,Olivia Brennan,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R100504,F050492,2024-07-19,1.4,Dual Flight Training,Completed,David Kim,N7732K,Cessna,172S,Doug Hayes,IFR
R101332,F051293,2024-07-21,1.3,Dual Flight Training,Completed,Ethan Murphy,N7732K,Cessna,172S,Jenny Park,CFI
R101333,F051294,2024-07-22,2.2,Dual Flight Training,Completed,Ethan Murphy,N6603L,Cessna,172S,Tom Reyes,CFI
R100222,F050215,2024-07-23,2.1,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,CFI
R100515,F050503,2024-07-23,2.2,Dual Flight Training,Completed,David Kim,N4521P,Cessna,172N,Doug Hayes,IFR
R101782,F051696,2024-07-23,1.7,Dual Flight Training,Completed,Olivia Brennan,N4521P,Cessna,172N,Tom Reyes,PPL (cadence cohort)
R100489,F050477,2024-07-25,1.4,Dual Flight Training,Completed,Priya Patel,N7732K,Cessna,172S,Mike Anderson,CFI
R100500,F050488,2024-07-25,2.2,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Jenny Park,CFI
R100219,F050212,2024-07-26,1.6,Dual Flight Training,Completed,Jamie Chen,N7732K,Cessna,172S,Mike Anderson,CFI
R100503,F050491,2024-07-27,1.2,Dual Flight Training,Completed,David Kim,N7732K,Cessna,172S,Doug Hayes,IFR
R100297,F050287,2024-07-28,1.5,Dual Flight Training,Completed,Sarah Williams,N8814M,Piper,PA-28-181,Tom Reyes,CFI
R101158,F051126,2024-07-29,1.7,Dual Flight Training,Completed,Noah J. Carter,N7732K,Cessna,172S,Jenny Park,PPL
R100215,F050208,2024-07-30,1.3,Dual Flight Training,Completed,Jamie Chen,N7732K,Cessna,172S,Mike Anderson,CFI
R100900,F050873,2024-07-30,2.2,Dual Flight Training,Completed,Brandon Lee,N4521P,Cessna,172N,Jenny Park,CFII
R101783,F051697,2024-07-30,1.7,Dual Flight Training,Completed,Olivia Brennan,N4521P,Cessna,172N,Tom Reyes,PPL (cadence cohort)
R101061,F051030,2024-07-31,2.1,Dual Flight Training,Completed,Isabella Rodriguez,N8814M,Piper,PA-28-181,Doug Hayes,IFR
R100508,F050496,2024-08-01,1.3,Dual Flight Training,Completed,David Kim,N7732K,Cessna,172S,Doug Hayes,IFR
R100897,F050870,2024-08-01,1.4,Dual Flight Training,Completed,Brandon Lee,N4521P,Cessna,172N,Doug Hayes,CFII
R100495,F050483,2024-08-02,1.4,Dual Flight Training,Completed,Priya Patel,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R101339,F051300,2024-08-02,1.8,Dual Flight Training,Completed,Ethan Murphy,N6603L,Cessna,172S,Jenny Park,CFI
R100296,F050286,2024-08-03,1.8,Dual Flight Training,Completed,Sarah Williams,N4521P,Cessna,172N,Sarah Phillips,CFI
R100898,F050871,2024-08-03,1.9,Dual Flight Training,Completed,Brandon Lee,N8814M,Piper,PA-28-181,Jenny Park,CFII
R100308,F050298,2024-08-04,2.3,Dual Flight Training,Completed,Sarah Williams,N4521P,Cessna,172N,Sarah Phillips,CFI
R101057,F051026,2024-08-04,1.3,Dual Flight Training,Completed,Isabella Rodriguez,N6603L,Cessna,172S,Doug Hayes,IFR
R101784,F051698,2024-08-04,1.8,Dual Flight Training,Completed,Olivia Brennan,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R100221,F050214,2024-08-05,1.7,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Mike Anderson,CFI
R100305,F050295,2024-08-07,1.7,Dual Flight Training,Completed,Sarah Williams,N6603L,Cessna,172S,Sarah Phillips,CFI
R101051,F051020,2024-08-07,1.4,Dual Flight Training,Completed,Isabella Rodriguez,N6603L,Cessna,172S,Doug Hayes,IFR
R100484,F050472,2024-08-09,2.2,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,CFI
R100528,F050515,2024-08-09,2.3,Dual Flight Training,Completed,David Kim,N7732K,Cessna,172S,Doug Hayes,IFR
R100902,F050875,2024-08-09,1.5,Dual Flight Training,Completed,Brandon Lee,N4521P,Cessna,172N,Mike Anderson,CFII
R100300,F050290,2024-08-10,1.9,Dual Flight Training,Completed,Sarah Williams,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R101166,F051134,2024-08-10,1.9,Dual Flight Training,Completed,Noah J. Carter,N6603L,Cessna,172S,Jenny Park,PPL
R100220,F050213,2024-08-11,1.3,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,CFI
R101785,F051699,2024-08-11,1.6,Student Solo,Completed,Olivia Brennan,N7732K,Cessna,172S,,PPL (cadence cohort)
R102298,F052212,2024-08-11,1.8,Dual Flight Training,Completed,Nora Quinn,N4521P,Cessna,172N,Mike Anderson,PPL (cadence cohort)
R100490,F050478,2024-08-12,1.6,Dual Flight Training,Completed,Priya Patel,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R101152,F051120,2024-08-12,1.6,Dual Flight Training,Completed,Noah J. Carter,N8814M,Piper,PA-28-181,Jenny Park,PPL
R101340,F051301,2024-08-12,2.2,Dual Flight Training,Completed,Ethan Murphy,N6603L,Cessna,172S,Jenny Park,CFI
R102299,F052213,2024-08-13,1.6,Dual Flight Training,Completed,Nora Quinn,N7732K,Cessna,172S,Mike Anderson,PPL (cadence cohort)
R100498,F050486,2024-08-14,1.2,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,CFI
R100899,F050872,2024-08-15,1.3,Dual Flight Training,Completed,Brandon Lee,N7732K,Cessna,172S,Mike Anderson,CFII
R101786,F051700,2024-08-15,1.5,Dual Flight Training,Completed,Olivia Brennan,N6603L,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R101066,F051035,2024-08-16,1.7,Dual Flight Training,Completed,Isabella Rodriguez,N7732K,Cessna,172S,Doug Hayes,IFR
R100214,F050207,2024-08-17,2.2,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,CFI
R101331,F051292,2024-08-17,1.5,Dual Flight Training,Completed,Ethan Murphy,N4521P,Cessna,172N,Jenny Park,CFI
R100304,F050294,2024-08-18,2.3,Dual Flight Training,Completed,Sarah Williams,N4521P,Cessna,172N,Doug Hayes,CFI
R102300,F052214,2024-08-18,1.7,Dual Flight Training,Completed,Nora Quinn,N4521P,Cessna,172N,Mike Anderson,PPL (cadence cohort)
R100225,F050218,2024-08-19,1.3,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,CFI
R101058,F051027,2024-08-19,1.3,Dual Flight Training,Completed,Isabella Rodriguez,N8814M,Piper,PA-28-181,Mike Anderson,IFR
R101150,F051118,2024-08-19,1.5,Dual Flight Training,Completed,Noah J. Carter,N4521P,Cessna,172N,Jenny Park,PPL
R100230,F050222,2024-08-20,1.2,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,CFI
R101341,F051302,2024-08-20,2.2,Dual Flight Training,Completed,Ethan Murphy,N6603L,Cessna,172S,Tom Reyes,CFI
R101787,F051701,2024-08-21,1.8,Dual Flight Training,Completed,Olivia Brennan,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R102301,F052215,2024-08-21,2.0,Dual Flight Training,Completed,Nora Quinn,N7732K,Cessna,172S,Mike Anderson,PPL (cadence cohort)
R100224,F050217,2024-08-22,1.7,Dual Flight Training,Completed,Jamie Chen,N7732K,Cessna,172S,Mike Anderson,CFI
R100896,F050869,2024-08-23,2.3,Dual Flight Training,Completed,Brandon Lee,N7732K,Cessna,172S,Jenny Park,CFII
R102302,F052216,2024-08-24,1.5,Dual Flight Training,Completed,Nora Quinn,N8814M,Piper,PA-28-181,Mike Anderson,PPL (cadence cohort)
R100499,F050487,2024-08-25,2.0,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,CFI
R100492,F050480,2024-08-26,2.2,Dual Flight Training,Completed,Priya Patel,N7732K,Cessna,172S,Sarah Phillips,CFI
R100901,F050874,2024-08-26,1.7,Dual Flight Training,Completed,Brandon Lee,N8814M,Piper,PA-28-181,Jenny Park,CFII
R101343,F051304,2024-08-26,2.3,Dual Flight Training,Completed,Ethan Murphy,N6603L,Cessna,172S,Jenny Park,CFI
R100497,F050485,2024-08-28,2.3,Dual Flight Training,Completed,Priya Patel,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R101164,F051132,2024-08-28,1.5,Dual Flight Training,Completed,Noah J. Carter,N7732K,Cessna,172S,Jenny Park,PPL
R101334,F051295,2024-08-28,2.0,Dual Flight Training,Completed,Ethan Murphy,N6603L,Cessna,172S,Jenny Park,CFI
R101788,F051702,2024-08-28,1.8,Dual Flight Training,Completed,Olivia Brennan,N8814M,Piper,PA-28-181,Tom Reyes,PPL (cadence cohort)
R102303,F052217,2024-08-28,1.7,Dual Flight Training,Completed,Nora Quinn,N7732K,Cessna,172S,Mike Anderson,PPL (cadence cohort)
R100491,F050479,2024-08-30,1.6,Dual Flight Training,Completed,Priya Patel,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R100903,F050876,2024-08-30,1.5,Dual Flight Training,Completed,Brandon Lee,N4521P,Cessna,172N,Jenny Park,CFII
R101142,F051110,2024-08-31,1.6,Student Solo,Completed,Noah J. Carter,N4521P,Cessna,172N,,PPL
R100518,F050506,2024-09-01,1.9,Dual Flight Training,Completed,David Kim,N8814M,Piper,PA-28-181,Doug Hayes,IFR
R102015,F051929,2024-09-01,1.8,Dual Flight Training,Completed,Lucas Hartman,N7732K,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R102304,F052218,2024-09-01,1.7,Dual Flight Training,Completed,Nora Quinn,N6603L,Cessna,172S,Mike Anderson,PPL (cadence cohort)
R100904,F050877,2024-09-02,1.7,Check Ride,Completed,Brandon Lee,N6603L,Cessna,172S,,CFII
R101789,F051703,2024-09-02,1.7,Dual Flight Training,Completed,Olivia Brennan,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R100488,F050476,2024-09-03,1.9,Dual Flight Training,Completed,Priya Patel,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R102016,F051930,2024-09-03,1.7,Dual Flight Training,Completed,Lucas Hartman,N4521P,Cessna,172N,Doug Hayes,PPL (cadence cohort)
R102232,F052146,2024-09-03,2.1,Dual Flight Training,Completed,Isla Romero,N7732K,Cessna,172S,Jenny Park,PPL (cadence cohort)
R101149,F051117,2024-09-04,1.4,Dual Flight Training,Completed,Noah J. Carter,N4521P,Cessna,172N,Jenny Park,PPL
R102305,F052219,2024-09-04,1.6,Dual Flight Training,Completed,Nora Quinn,N6603L,Cessna,172S,Mike Anderson,PPL (cadence cohort)
R100228,F050220,2024-09-05,2.1,Dual Flight Training,Completed,Jamie Chen,N7732K,Cessna,172S,Mike Anderson,CFI
R102017,F051931,2024-09-05,1.9,Dual Flight Training,Completed,Lucas Hartman,N6603L,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R102233,F052147,2024-09-05,2.1,Dual Flight Training,Completed,Isla Romero,N8814M,Piper,PA-28-181,Jenny Park,PPL (cadence cohort)
R102234,F052148,2024-09-05,1.6,Dual Flight Training,Completed,Isla Romero,N6603L,Cessna,172S,Jenny Park,PPL (cadence cohort)
R101065,F051034,2024-09-06,1.3,Dual Flight Training,Completed,Isabella Rodriguez,N7732K,Cessna,172S,Doug Hayes,IFR
R102018,F051932,2024-09-06,1.8,Dual Flight Training,Completed,Lucas Hartman,N6603L,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R102235,F052149,2024-09-07,1.7,Dual Flight Training,Completed,Isla Romero,N4521P,Cessna,172N,Jenny Park,PPL (cadence cohort)
R102306,F052220,2024-09-07,1.8,Dual Flight Training,Completed,Nora Quinn,N4521P,Cessna,172N,Mike Anderson,PPL (cadence cohort)
R101790,F051704,2024-09-08,1.9,Dual Flight Training,Completed,Olivia Brennan,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R102236,F052150,2024-09-08,1.8,Dual Flight Training,Completed,Isla Romero,N6603L,Cessna,172S,Jenny Park,PPL (cadence cohort)
R102019,F051933,2024-09-09,1.8,Dual Flight Training,Completed,Lucas Hartman,N6603L,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R102237,F052151,2024-09-09,1.7,Dual Flight Training,Completed,Isla Romero,N8814M,Piper,PA-28-181,Jenny Park,PPL (cadence cohort)
R102238,F052152,2024-09-09,2.1,Dual Flight Training,Completed,Isla Romero,N8814M,Piper,PA-28-181,Jenny Park,PPL (cadence cohort)
R102020,F051934,2024-09-10,1.5,Dual Flight Training,Completed,Lucas Hartman,N6603L,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R102307,F052221,2024-09-10,1.9,Dual Flight Training,Completed,Nora Quinn,N6603L,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R100522,F050510,2024-09-11,1.9,Dual Flight Training,Completed,David Kim,N4521P,Cessna,172N,Sarah Phillips,IFR
R100527,F050514,2024-09-11,1.8,Dual Flight Training,Completed,David Kim,N7732K,Cessna,172S,Doug Hayes,IFR
R102239,F052153,2024-09-11,1.9,Dual Flight Training,Completed,Isla Romero,N6603L,Cessna,172S,Jenny Park,PPL (cadence cohort)
R100501,F050489,2024-09-12,2.1,Check Ride,Completed,Priya Patel,N7732K,Cessna,172S,,CFI
R102021,F051935,2024-09-12,2.1,Dual Flight Training,Completed,Lucas Hartman,N6603L,Cessna,172S,Doug Hayes,PPL (cadence cohort)
R102240,F052154,2024-09-12,1.9,Dual Flight Training,Completed,Isla Romero,N6603L,Cessna,172S,Jenny Park,PPL (cadence cohort)
R102241,F052155,2024-09-12,1.5,Dual Flight Training,Completed,Isla Romero,N8814M,Piper,PA-28-181,Tom Reyes,PPL (cadence cohort)
R101947,F051861,2024-09-13,2.0,Dual Flight Training,Completed,Mason Trent,N4521P,Cessna,172N,Tom Reyes,PPL (cadence cohort)
R100506,F050494,2024-09-14,1.4,Dual Flight Training,Completed,David Kim,N6603L,Cessna,172S,Doug Hayes,IFR
R101791,F051705,2024-09-14,1.7,Dual Flight Training,Completed,Olivia Brennan,N6603L,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R102022,F051936,2024-09-14,1.5,Dual Flight Training,Completed,Lucas Hartman,N7732K,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R102242,F052156,2024-09-14,1.7,Dual Flight Training,Completed,Isla Romero,N7732K,Cessna,172S,Jenny Park,PPL (cadence cohort)
R102243,F052157,2024-09-14,2.1,Dual Flight Training,Completed,Isla Romero,N4521P,Cessna,172N,Jenny Park,PPL (cadence cohort)
R102308,F052222,2024-09-14,1.7,Dual Flight Training,Completed,Nora Quinn,N6603L,Cessna,172S,Mike Anderson,PPL (cadence cohort)
R101948,F051862,2024-09-15,1.6,Dual Flight Training,Completed,Mason Trent,N6603L,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R102023,F051937,2024-09-15,1.7,Dual Flight Training,Completed,Lucas Hartman,N6603L,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R102244,F052158,2024-09-16,1.8,Dual Flight Training,Completed,Isla Romero,N4521P,Cessna,172N,Jenny Park,PPL (cadence cohort)
R101949,F051863,2024-09-17,1.8,Dual Flight Training,Completed,Mason Trent,N8814M,Piper,PA-28-181,Tom Reyes,PPL (cadence cohort)
R102024,F051938,2024-09-17,1.9,Dual Flight Training,Completed,Lucas Hartman,N8814M,Piper,PA-28-181,Sarah Phillips,PPL (cadence cohort)
R102309,F052223,2024-09-17,1.8,Dual Flight Training,Completed,Nora Quinn,N6603L,Cessna,172S,Mike Anderson,PPL (cadence cohort)
R102245,F052159,2024-09-18,1.6,Dual Flight Training,Completed,Isla Romero,N8814M,Piper,PA-28-181,Mike Anderson,PPL (cadence cohort)
R102025,F051939,2024-09-19,1.8,Dual Flight Training,Completed,Lucas Hartman,N7732K,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R102246,F052160,2024-09-19,1.5,Student Solo,Completed,Isla Romero,N8814M,Piper,PA-28-181,,PPL (cadence cohort)
R101330,F051291,2024-09-20,2.2,Dual Flight Training,Completed,Ethan Murphy,N7732K,Cessna,172S,Jenny Park,CFI
R101792,F051706,2024-09-20,1.8,Dual Flight Training,Completed,Olivia Brennan,N8814M,Piper,PA-28-181,Jenny Park,PPL (cadence cohort)
R101950,F051864,2024-09-20,1.9,Dual Flight Training,Completed,Mason Trent,N6603L,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R102247,F052161,2024-09-20,1.8,Dual Flight Training,Completed,Isla Romero,N8814M,Piper,PA-28-181,Jenny Park,PPL (cadence cohort)
R102248,F052162,2024-09-20,2.1,Dual Flight Training,Completed,Isla Romero,N4521P,Cessna,172N,Doug Hayes,PPL (cadence cohort)
R101951,F051865,2024-09-21,1.7,Dual Flight Training,Completed,Mason Trent,N8814M,Piper,PA-28-181,Tom Reyes,PPL (cadence cohort)
R102026,F051940,2024-09-21,2.1,Dual Flight Training,Completed,Lucas Hartman,N4521P,Cessna,172N,Doug Hayes,PPL (cadence cohort)
R102310,F052224,2024-09-21,1.7,Dual Flight Training,Completed,Nora Quinn,N8814M,Piper,PA-28-181,Mike Anderson,PPL (cadence cohort)
R100502,F050490,2024-09-22,2.1,Dual Flight Training,Completed,David Kim,N4521P,Cessna,172N,Doug Hayes,IFR
R102249,F052163,2024-09-22,1.8,Dual Flight Training,Completed,Isla Romero,N6603L,Cessna,172S,Jenny Park,PPL (cadence cohort)
R102250,F052164,2024-09-22,1.6,Dual Flight Training,Completed,Isla Romero,N4521P,Cessna,172N,Jenny Park,PPL (cadence cohort)
R101537,,2024-09-23,4.0,Maintenance,Completed,,N4521P,Cessna,172N,,
R102027,F051941,2024-09-23,2.1,Dual Flight Training,Completed,Lucas Hartman,N7732K,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R102251,F052165,2024-09-23,2.0,Dual Flight Training,Completed,Isla Romero,N7732K,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R100231,F050223,2024-09-24,1.7,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,CFI
R101952,F051866,2024-09-24,1.8,Dual Flight Training,Completed,Mason Trent,N4521P,Cessna,172N,Tom Reyes,PPL (cadence cohort)
R102252,F052166,2024-09-24,1.8,Dual Flight Training,Completed,Isla Romero,N4521P,Cessna,172N,Jenny Park,PPL (cadence cohort)
R102311,F052225,2024-09-24,1.8,Dual Flight Training,Completed,Nora Quinn,N6603L,Cessna,172S,Mike Anderson,PPL (cadence cohort)
R101793,F051707,2024-09-25,1.7,Dual Flight Training,Completed,Olivia Brennan,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R101953,F051867,2024-09-25,2.1,Dual Flight Training,Completed,Mason Trent,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R102028,F051942,2024-09-25,1.6,Dual Flight Training,Completed,Lucas Hartman,N8814M,Piper,PA-28-181,Sarah Phillips,PPL (cadence cohort)
R102253,F052167,2024-09-25,1.7,Student Solo,Completed,Isla Romero,N8814M,Piper,PA-28-181,,PPL (cadence cohort)
R101071,F051040,2024-09-26,1.3,Dual Flight Training,Completed,Isabella Rodriguez,N7732K,Cessna,172S,Doug Hayes,IFR
R102254,F052168,2024-09-26,1.9,Dual Flight Training,Completed,Isla Romero,N4521P,Cessna,172N,Jenny Park,PPL (cadence cohort)
R100301,F050291,2024-09-27,2.0,Dual Flight Training,Completed,Sarah Williams,N7732K,Cessna,172S,Sarah Phillips,CFI
R101579,F051499,2024-09-27,2.5,Owner Flight,Completed,Patricia O'Donnell,N9923R,Cessna,182RG,,
R101954,F051868,2024-09-27,1.8,Dual Flight Training,Completed,Mason Trent,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R102029,F051943,2024-09-27,1.9,Dual Flight Training,Completed,Lucas Hartman,N6603L,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R102030,F051944,2024-09-27,2.0,Dual Flight Training,Completed,Lucas Hartman,N7732K,Cessna,172S,Sarah Phillips,PPL (cadence cohort)
R100232,F050224,2024-09-28,1.7,Check Ride,Completed,Jamie Chen,N8814M,Piper,PA-28-181,,CFI
R102255,F052169,2024-09-28,2.1,Dual Flight Training,Completed,Isla Romero,N7732K,Cessna,172S,Tom Reyes,PPL (cadence cohort)
R102256,F052170,2024-09-28,2.1,Dual Flight Training,Completed,Isla Romero,N6603L,Cessna,172S,Jenny Park,PPL (cadence cohort)
R101955,F051869,2024-09-29,1.7,Dual Flight Training,Completed,Mason Trent,N6603L,Cessna,172S,Tom Reyes,PPL (cadence cohort)
